month,matchCount,winCount,winPercentage
2024-09-01,1374336,678750,49.387486029617214
2024-08-01,1889726,945244,50.020161653065045
2024-07-01,2309144,1148349,49.73050619623549
2024-06-01,3553590,1853343,52.154103315238956
2024-05-01,4439058,2327074,52.42269868967695
2024-04-01,4055339,2149510,53.00444673059391
2024-03-01,3169397,1670692,52.71324482228007
2024-02-01,1772381,882669,49.8013124717541
2024-01-01,2180661,1081799,49.60876541562398
2023-12-01,2352601,1183244,50.29514142007081
2023-11-01,2375598,1198083,50.43290152626834
2023-10-01,2436840,1232343,50.57135470527404
2023-09-01,1720880,850371,49.41489238064246
2023-08-01,1897383,933726,49.21125571379105
2023-07-01,1656365,821281,49.583334591107636
2023-06-01,1492936,735187,49.244374842592045
2023-05-01,1532781,747693,48.78015841793446
2023-04-01,1826570,905008,49.546855581773485
2023-03-01,1835984,919746,50.095534601608726
2023-02-01,1735716,866551,49.92469966284807
2023-01-01,2163168,1084479,50.13383149159011
2022-12-01,2486113,1254319,50.453016415585296
2022-11-01,2820371,1428452,50.64766302021968
2022-10-01,2299302,1168179,50.805809763136814
2022-09-01,2051175,1029352,50.183528952917236
2022-08-01,1901545,952657,50.09910362363236
2022-07-01,1888720,952530,50.432568088440846
2022-06-01,1818454,919230,50.550082652626905
2022-05-01,1872766,947606,50.59927401501309
2022-04-01,1884905,953677,50.5954942026256
2022-03-01,2002929,1016939,50.772593536765406
2022-02-01,1968241,1008206,51.22370685297176
2022-01-01,2252851,1154936,51.265529766504756
2021-12-01,2107059,1080583,51.283946011953155
2021-11-01,2207687,1133480,51.34242308805551
2021-10-01,2225511,1156539,51.96734592639623
2021-09-01,1821273,932584,51.20506371093187
2021-08-01,1807306,907630,50.220051280746034
2021-07-01,1914151,970797,50.71684522276456
2021-06-01,1967726,1003465,50.996175280501454
2021-05-01,2342399,1194193,50.98162183300112
2021-04-01,2143702,1097453,51.19428913160504
2021-03-01,1578127,779292,49.380816626291804
2021-02-01,1437249,707267,49.2097750633328
2021-01-01,1567436,751586,47.950027943724656
2020-12-01,1888692,897785,47.534748916181144
2020-11-01,2138706,1053663,49.26637882906767
2020-10-01,1910739,937769,49.07886425095212
2020-09-01,1828388,899334,49.18726222224167
2020-08-01,1818562,898707,49.41855158086444
2020-07-01,1905931,936548,49.138609949678134
2020-06-01,2084287,1032823,49.552820700796005
2020-05-01,1866172,916538,49.11326501522903
2020-04-01,1978385,957543,48.40023554565972
2020-03-01,2322283,1128432,48.59149380157371
2020-02-01,3338414,1754427,52.55270916069726
