Item Name,Hash Name,URL,Hero ID,Data Available
Eternal Machine Head,Eternal%20Machine%20Head,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Eternal%20Machine%20Head,51,True
Golden Sullen Sanctum,Golden%20Sullen%20Sanctum,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Sullen%20Sanctum,36,True
Primal Peacemaker,Primal%20Peacemaker,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Primal%20Peacemaker,38,True
Crystal Dryad,Crystal%20Dryad,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Crystal%20Dryad,19,True
Arms of Desolation,Arms%20of%20Desolation,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Arms%20of%20Desolation,11,True
Blastmitt Berserker Bundle,Blastmitt%20Berserker%20Bundle,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Blastmitt%20Berserker%20Bundle,99,True
Provocation of Ruin Belt,Provocation%20of%20Ruin%20Belt,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Provocation%20of%20Ruin%20Belt,8,True
Mantle of the Whispered Bond of the Crimson Witness,Mantle%20of%20the%20Whispered%20Bond%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Mantle%20of%20the%20Whispered%20Bond%20of%20the%20Crimson%20Witness,46,True
The Hallows Within Tombstone,The%20Hallows%20Within%20Tombstone,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=The%20Hallows%20Within%20Tombstone,85,True
Whisky the Stout Artifact,Whisky%20the%20Stout%20Artifact,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Whisky%20the%20Stout%20Artifact,100,True
Orb of Deliverance of the Crimson Witness,Orb%20of%20Deliverance%20of%20the%20Crimson%20Witness,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Orb%20of%20Deliverance%20of%20the%20Crimson%20Witness,87,True
Razzil's Midas Knuckles,Razzil%27s%20Midas%20Knuckles,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Razzil%27s%20Midas%20Knuckles,73,True
Thirst of Eztzhok Blade,Thirst%20of%20Eztzhok%20Blade,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Thirst%20of%20Eztzhok%20Blade,4,True
Golden Cyrridae,Golden%20Cyrridae,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Cyrridae,63,True
Golden Mantle of Grim Facade,Golden%20Mantle%20of%20Grim%20Facade,https://steamcommunity.com/market/pricehistory/?appid=570&market_hash_name=Golden%20Mantle%20of%20Grim%20Facade,79,True
